team_id_master,team_name,club_name,age_group,gender,notes
93c751c5-a34f-4c3a-93a5-f5463c5e63ff,ECNL RL B12,Gretna Elite Academy,u14,Male,Club not found in database or club has no state_code
e9ea3d93-60bc-4cb1-b330-d1342c31a265,ECNL RL B09,Germantown Legends,u17,Male,Club not found in database or club has no state_code
53fa44b1-9591-4fe4-9475-c755acb34c95,ECNL RL B11,Lobos Rush,u15,Male,Club not found in database or club has no state_code
41a5784c-8a05-42f8-a016-bddbffd31a3b,ECNL RL B13,Indiana Elite FC,u13,Male,Club not found in database or club has no state_code
1b7ede65-9e8b-49f8-89e2-f46d4268284b,ECNL RL B13,Chicago Inter Soccer,u13,Male,Club not found in database or club has no state_code
22c33451-16f6-4dd2-8f49-f1be04a844ca,ECNL RL B13,Scorpions SC,u13,Male,Club not found in database or club has no state_code
d8f11760-04e9-4a74-a682-67f91d775a8a,ECNL RL B09,LA Krewe Rush,u17,Male,Club not found in database or club has no state_code
dcb6bd18-6e05-4ae4-943d-424b0f6d983f,ECNL RL B10,LA Krewe Rush,u16,Male,Club not found in database or club has no state_code
a80888e5-e245-4470-b0fa-33bdbe0bc334,ECNL RL B11,LA Krewe Rush,u15,Male,Club not found in database or club has no state_code
a848bda0-197f-44da-b8e5-65604ee5afad,ECNL RL B13,LA Krewe Rush,u13,Male,Club not found in database or club has no state_code
d78fea11-97cb-41ba-a91a-a743c347dc91,ECNL RL B13,Hattiesburg FC,u13,Male,Club not found in database or club has no state_code
67420d6d-de67-468c-a9d5-0743a251a175,ECNL RL B09,FC United Iowa,u17,Male,Club not found in database or club has no state_code
3c8cf2a8-f84f-40bb-bc49-d8b1b4f7cace,ECNL RL B10,FC United Iowa,u16,Male,Club not found in database or club has no state_code
37fd432c-5ffd-46c2-8789-eb2590da805b,ECNL RL B11,Germantown Legends,u15,Male,Club not found in database or club has no state_code
a754f7c5-4ac7-4d9d-9702-fbf8507e825d,ECNL RL B11,FC United Iowa,u15,Male,Club not found in database or club has no state_code
45834ef0-8f05-48f3-a36d-e09f36fa6c7b,Sporting Nebraska FC ECNL RL B12,Sporting Nebraska Football Club,u14,Male,Club not found in database or club has no state_code
57e75ee7-20c5-4644-b8c3-42afb22f911f,ECNL RL B12,Kansas City Athletics,u14,Male,Club not found in database or club has no state_code
7a2026e9-d729-4838-af39-2745fbd7fbbb,ECNL RL B13,Sporting Iowa,u13,Male,Club not found in database or club has no state_code
43129435-60c7-4a3b-aced-7db429f0cf76,Navy ECNL RL B13,Union KC,u13,Male,Club not found in database or club has no state_code
c81586c4-956b-4bb7-8546-e4c6712dd21a,ECNL RL B09,Lobos Rush,u17,Male,Club not found in database or club has no state_code
20dff1af-21ae-434c-86ad-394767bab86c,ECNL RL B12,Germantown Legends,u14,Male,Club not found in database or club has no state_code
5664f13c-26b2-4cb1-8243-974fa2b32749,ECNL RL B10,Lobos Rush,u16,Male,Club not found in database or club has no state_code
15172c00-81aa-49dc-8782-42ee2ec9895e,Minnesota Thunder ECNL RL B13,Minnesota Thunder Academy,u13,Male,Club not found in database or club has no state_code
a301569e-0979-4368-9452-a7382ecf2dcc,Sporting Nebraska FC ECNL RL B10,Sporting Nebraska Football Club,u16,Male,Club not found in database or club has no state_code
bef4ddcf-4fe1-4fc6-ba1c-4f25691f3f7b,Navy ECNL RL B12,Union KC,u14,Male,Club not found in database or club has no state_code
3abc937a-7788-4267-99b6-27f16859ffcd,United ECNL RL B09,Mississippi Rush,u17,Male,Club not found in database or club has no state_code
3658a664-bb2e-4612-bcad-675591ba6aeb,ECNL RL B09,Chattanooga Red Wolves SC,u17,Male,Club not found in database or club has no state_code
0b65a367-b54e-42cc-9346-bb325a8909cc,ECNL RL B09,FC Alliance,u17,Male,Club not found in database or club has no state_code
33c8baa8-ff88-4835-8b02-d13d94549dcb,ECNL RL B11,Tupelo FC,u15,Male,Club not found in database or club has no state_code
052e954e-e82c-4b67-adc9-ac2d40c2edd5,ECNL RL B11,Chattanooga Red Wolves SC,u15,Male,Club not found in database or club has no state_code
4785c571-f8aa-4d42-959a-26dda8dd2320,ECNL RL B12,LA Krewe Rush,u14,Male,Club not found in database or club has no state_code
cb0e7b8e-902c-4636-a6fd-9a9cb2553c61,ECNL RL B11,FC Alliance,u15,Male,Club not found in database or club has no state_code
70cd88e7-7014-43f0-90d0-de18d324020d,ECNL RL B08/07,Gretna Elite Academy,u18,Male,Club not found in database or club has no state_code
10eae738-005d-481b-ba1f-26ac8f60948c,Sporting Nebraska FC ECNL RL B09,Sporting Nebraska Football Club,u17,Male,Club not found in database or club has no state_code
af042f1e-6485-40d1-8ce1-a283092d6c55,Rockford Raptors ECNL RL B13,Rockford Raptors FC,u13,Male,Club not found in database or club has no state_code
dd5d0167-bce0-4ca6-b6f2-6ec941cbad80,ECNL RL B11,Coastal Rush,u15,Male,Club not found in database or club has no state_code
6871daf6-96b6-4e37-a308-7b4c64dc9aad,ECNL RL B11,Hattiesburg FC,u15,Male,Club not found in database or club has no state_code
a2b643f8-f470-4298-93a9-f888e3e429be,ECNL RL B09,Gretna Elite Academy,u17,Male,Club not found in database or club has no state_code
f3241382-acab-4dd3-af47-f206b51f0105,ECNL RL B12,FC United Iowa,u14,Male,Club not found in database or club has no state_code
d3f3e5fc-fd12-4048-a63e-ecaec621f4ff,Red ECNL RL B12,Union KC,u14,Male,Club not found in database or club has no state_code
f2d91354-9e7b-4c23-a62c-64447e39c12a,ECNL RL B13,Gretna Elite Academy,u13,Male,Club not found in database or club has no state_code
