team_id_master,team_name,club_name,age_group,gender,matched_state_code,confidence,all_state_codes,state_code_count,review_notes
cdaec0f1-b135-41fa-9829-23757943daec,Premier ECNL RL B11,Vision Soccer Academy,u15,Male,IA,single_state,IA,1,
9bf509c2-25f9-4946-8936-782c669613bd,ECNL RL B12,St. Louis Stars,u14,Male,MO,single_state,MO,1,
bbd272f5-07a5-4bd3-ad1b-312770de95e3,ECNL RL B12,KC Fusion,u14,Male,KS,single_state,KS,1,
4b8c0083-83ec-41cb-a029-a5a2c5f85e31,ECNL RL B13,Missouri Rush,u13,Male,MO,single_state,MO,1,
8d3ac7b9-2d1c-4237-9d80-a1216084e278,Tennessee SC ECNL RL B11,Tennessee Soccer Club,u15,Male,TN,single_state,TN,1,
91547a3b-568d-4dc3-abb3-c9f361fdcceb,Tennessee SC ECNL RL B09,Tennessee Soccer Club,u17,Male,TN,single_state,TN,1,
57829f96-afb4-4134-95d4-7917f72705f2,Tennessee SC Murfreesboro ECNL RL B10,Tennessee Soccer Club,u16,Male,TN,single_state,TN,1,
d09711de-6d12-4bde-96bc-af50dab7e423,Tennessee SC Murfreesboro ECNL RL B12,Tennessee Soccer Club,u14,Male,TN,single_state,TN,1,
352ec6af-b30f-4909-b3cf-178a3c3f3b29,ECNL RL B12,Chicago Magic,u14,Male,IL,single_state,IL,1,
7aed81c6-cc62-42f6-b298-555ffc0d7434,ECNL RL B09,PlayMaker Futbol Academy,u17,Male,AZ,single_state,AZ,1,
278be3cc-a71c-4c10-9afb-7cd17f155d52,Premier ECNL RL B09,Vision Soccer Academy,u17,Male,IA,single_state,IA,1,
bb2071d4-7bd1-45c4-9a9e-50d866e6711b,ECNL RL B12,Missouri Rush,u14,Male,MO,single_state,MO,1,
36d524f9-5428-4c5a-bb6c-d05a66251070,ECNL RL B10,Louisiana Fire Soccer Club,u16,Male,LA,single_state,LA,1,
1dbfec59-686b-4634-b9c0-a43605976e77,FC WISCONSIN ECNL RL B13,FC WISCONSIN BOYS,u13,Male,WI,single_state,WI,1,
b108bcf2-2019-43a0-b6f9-eb3267321b83,FC ECNL RL B2009,La Roca,u17,Male,UT,single_state,UT,1,
4daf0868-41dd-4885-96f3-e544d9e7b637,NM Rapids ECNL RL B09,NM Rapids Soccer Club,u17,Male,NM,single_state,NM,1,
81d8c998-4921-45cd-ba96-2659083f3696,ECNL RL B11,Utah Avalanche,u15,Male,UT,single_state,UT,1,
128d136e-2f4f-447a-894e-0dab5528517b,ECNL RL B13,Union 10 FC,u13,Male,AL,single_state,AL,1,
26367521-51e8-4051-8ff3-f0cc8adf71f6,ECNL RL B13,Gulf Coast United FC,u13,Male,MS,single_state,MS,1,
c69ab5b6-4c80-4053-9577-a56f179c9ba2,Premier ECNL RL B08/07,Vision Soccer Academy,u18,Male,IA,single_state,IA,1,
c837f7c7-be55-4743-92c6-01df11970fd0,ECNL RL B13,St. Louis Stars,u13,Male,MO,single_state,MO,1,
c74591ac-0861-4b6e-b158-d2a0659fa25e,ECNL RL B13,KC Fusion,u13,Male,KS,single_state,KS,1,
fbb8e873-b20f-421a-b0dc-001217cb08f4,Tennessee SC Murfreesboro ECNL RL B08/07,Tennessee Soccer Club,u18,Male,TN,single_state,TN,1,
a74429fa-e3c8-410d-82c6-52ce2428dfd2,ECNL RL B09,Tennessee United,u17,Male,TN,single_state,TN,1,
f0517f77-f7ed-4380-b580-22d9c0a5a32c,ECNL RL B11,Tennessee United,u15,Male,TN,single_state,TN,1,
1db3509a-7bfd-4d4d-8f2e-9855c8a6cce7,Tennessee SC Murfreesboro ECNL RL B13,Tennessee Soccer Club,u13,Male,TN,single_state,TN,1,
c0cfe7e7-ff4b-4d34-ab81-d6475a9c4467,NM Rapids ECNL RL B08/07,NM Rapids Soccer Club,u18,Male,NM,single_state,NM,1,
098f0675-5198-4299-9af7-e1d7185479f0,ECNL RL B10,Utah Avalanche,u16,Male,UT,single_state,UT,1,
3fa292c0-4397-4910-97a5-16d81538f689,ECNL RL B10,FC Arizona,u16,Male,AZ,single_state,AZ,1,
0c0c6f77-2ec8-4a55-a199-65a112b7aa13,ECNL RL B10,PlayMaker Futbol Academy,u16,Male,AZ,single_state,AZ,1,
61b61f47-de18-48d9-9fba-e740a7d7ec06,South ECNL RL B13,Colorado Rapids,u13,Male,CO,single_state,CO,1,
100dd678-a43f-4568-924c-b26c545f17c6,ECNL RL B2013,FC Arizona,u13,Male,AZ,single_state,AZ,1,
9759ddfd-b136-465e-9611-f1fb4b6beac5,ECNL RL B12,East Coast Surf SC,u14,Male,NY,single_state,NY,1,
de325ca9-e360-4d55-bbdd-335759784c1d,Manhattan SC ECNL RL B12,Manhattan Soccer Club,u14,Male,NY,single_state,NY,1,
55f379e2-f288-4594-8b33-0ae2e162ada2,ECNL RL B08/07,Silicon Valley Eagles,u18,Male,CA,single_state,CA,1,
3e0572f0-8825-4035-baf3-708540e41bfe,NUU Avalanche ECNL RL B08/07,Utah Avalanche,u18,Male,UT,single_state,UT,1,
2ce16cb4-e03a-4b04-8ec9-67c88dac1030,NUU Avalanche ECNL RL B10,Utah Avalanche,u16,Male,UT,single_state,UT,1,
5333c9e5-6f77-417e-b9ea-6df99d825a0a,ECNL RL B11,PlayMaker Futbol Academy,u15,Male,AZ,single_state,AZ,1,
2a876200-651b-41a7-b5d3-8f7f9ac403a3,Colorado EDGE ECNL RL B12,Colorado EDGE SC,u14,Male,CO,single_state,CO,1,
4ba739f7-aa50-4347-9e1d-e51bc5b39074,Tennessee SC ECNL RL B13,Tennessee Soccer Club,u13,Male,TN,single_state,TN,1,
f28f899f-2819-4b3c-97e5-fb2a9e085b8a,ECNL RL B2012,FC Arizona,u14,Male,AZ,single_state,AZ,1,
37a055a1-576d-44f9-81b0-683db6368291,ECNL RL B13,PlayMaker Futbol Academy,u13,Male,AZ,single_state,AZ,1,
10157bf7-1d4f-4662-a27f-5407a496aeef,ECNL RL B13,FSA FC,u13,Male,CT,single_state,CT,1,
7501dacd-a73d-46e6-8ab1-792ef0127709,ECNL RL B13,World Class FC,u13,Male,NY,single_state,NY,1,
aec12826-ea25-4cac-9d5c-9bd94f4f0fc4,ECNL RL B13,AC Connecticut,u13,Male,CT,single_state,CT,1,
