team_id_master,team_name,club_name,age_group,gender,state,state_code,provider_team_id,notes
7e7e156e-f874-4368-8a45-ae1036895052,Kings Hammer Cincinnati U16,Kings Hammer Cincinnati,u16,Male,,OH,1308,
371b1a1b-9e7e-418c-8eda-02d5acd3fa3f,Sting Nebraska U16,Sting Nebraska,u16,Male,,NE,1331,
19a3cb8f-713d-4eb5-b7b6-2dfda834b3ff,Chicago Fire Youth SC U16,Chicago Fire Youth SC,u16,Male,,IL,1306,
88666357-ce5a-4454-9a93-bd8bdf4f434c,Coppermine SC U16,Coppermine SC,u16,Male,,MD,1287,
c3a4ce4e-212f-4b86-bfcd-c852f12d7e8b,Michigan Jaguars United FC U16,Michigan Jaguars United FC,u16,Male,,MI,1311,
417f426c-8d6f-4680-9a6a-60f926b4766b,Nashville United Soccer Academy U16,Nashville United Soccer Academy,u16,Male,,TN,869,
c101a210-e802-449c-a622-de36309cbd10,Northern Virginia Alliance U16,Northern Virginia Alliance,u16,Male,,VA,1407,
69115525-2bff-48df-afd0-82a314777804,Napa United U16,Napa United,u16,Male,,CA,410,
c4fc645b-9ba6-4b81-8cbd-2a06f6fd7d42,ASG U16,ASG,u16,Male,,FL,1300,
61e05c2c-a8e4-4f72-bb8e-ba8cac7891ab,Virginia Revolution SC U16,Virginia Revolution SC,u16,Male,,VA,1294,
c93a7aac-2b58-442a-aeb4-894e67d310a6,IdeaSport SA U16,IdeaSport SA,u16,Male,,FL,463,
902db5a6-5856-4dc0-920c-51d00981b803,One FC U16,One FC,u16,Male,,FL,1304,
2326fd3a-84ef-43bd-8178-a94ef700ca31,FC Dallas U16,FC Dallas,u16,Male,,TX,10,
882b8d0a-d779-4b8a-8840-17cbf1590ef3,FC Bay Area Surf U16,FC Bay Area Surf,u16,Male,,CA,406,
9376ffc4-7c9b-4f63-ac09-30756189a46b,Chula Vista FC U16,Chula Vista FC,u16,Male,,CA,393,
8d841730-c519-4682-bb1a-e5dd9d69de44,IMG U16,IMG,u16,Male,,FL,37,
4e254703-7ef9-424b-8dbd-618670e04836,Sporting San Diego U16,Sporting San Diego,u16,Male,,CA,1352,
287bc9b4-0681-41f4-80e1-5d88b8e10d9a,Dallas Hornets East U16,Dallas Hornets East,u16,Male,,TX,1269,
71d00d8a-bc77-4a5b-9965-96a52fa42238,LA Youth U16,LA Youth,u16,Male,,CA,1351,
007c6b57-40f1-4aa6-829d-cf2beb83b6e3,Strikers FC U16,Strikers FC,u16,Male,,CA,474,
f06220b0-0114-44c9-9c9c-4b4abf214eb2,Oaks FC U16,Oaks FC,u16,Male,,CA,925,
6398c7ea-7616-4784-ab04-8877bff9d1a2,Atletico FC U16,Atletico FC,u16,Male,,WA,1096,
1b2f580e-27db-452f-a121-b560e3da0190,Southern Soccer Academy U16,Southern Soccer Academy,u16,Male,,GA,366,
