scrape_run_id,event_id,schedule_id,age_year,gender,team_id,team_id_source,team_name,opponent_id,opponent_id_source,opponent_name,game_date,game_time,home_away,goals_for,goals_against,result,venue,source_url,scraped_at
2025-12-11T03:46:43.837100+00:00_880f96,4067,35471,2012,G,tgs:30161cacbeb6,tgs:30161cacbeb6,South Valley Surf - G2012,tgs:6a9a528ed2a3,tgs:6a9a528ed2a3,Elmhurst City Surf - ECS 2012 G Elite,2025-12-07T08:30:00,08:30:00,A,1,1,D,Field 9 (11 v 11),https://public.totalglobalsports.com/public/event/4067,2025-12-11T03:46:43.837100+00:00
2025-12-11T03:46:43.837100+00:00_880f96,4067,35471,2012,G,tgs:0228a574561d,tgs:0228a574561d,Monterey Surf SC - Monterey Surf G12 ECNL-RL,tgs:00ff0f228925,tgs:00ff0f228925,Rebels SC ECNL RL G12,2025-12-07T09:15:00,09:15:00,H,5,0,W,Field 13 (11 v 11),https://public.totalglobalsports.com/public/event/4067,2025-12-11T03:46:43.837100+00:00
2025-12-11T03:46:43.837100+00:00_880f96,4067,35471,2012,G,tgs:00ff0f228925,tgs:00ff0f228925,Rebels SC ECNL RL G12,tgs:0228a574561d,tgs:0228a574561d,Monterey Surf SC - Monterey Surf G12 ECNL-RL,2025-12-07T09:15:00,09:15:00,A,0,5,L,Field 13 (11 v 11),https://public.totalglobalsports.com/public/event/4067,2025-12-11T03:46:43.837100+00:00
2025-12-11T03:46:43.837100+00:00_880f96,4067,35471,2012,G,tgs:30161cacbeb6,tgs:30161cacbeb6,South Valley Surf - G2012,tgs:0228a574561d,tgs:0228a574561d,Monterey Surf SC - Monterey Surf G12 ECNL-RL,2025-12-07T12:15:00,12:15:00,H,0,6,L,Field 6 (11 v 11),https://public.totalglobalsports.com/public/event/4067,2025-12-11T03:46:43.837100+00:00
2025-12-11T03:46:43.837100+00:00_880f96,4067,35471,2012,G,tgs:0228a574561d,tgs:0228a574561d,Monterey Surf SC - Monterey Surf G12 ECNL-RL,tgs:30161cacbeb6,tgs:30161cacbeb6,South Valley Surf - G2012,2025-12-07T12:15:00,12:15:00,A,6,0,W,Field 6 (11 v 11),https://public.totalglobalsports.com/public/event/4067,2025-12-11T03:46:43.837100+00:00
2025-12-11T03:46:43.837100+00:00_880f96,4067,35485,2012,G,tgs:5a2b22dbf75f,tgs:5a2b22dbf75f,IR Academy - 12G NPL,tgs:94ef45addea9,tgs:94ef45addea9,Sound FC - Sound FC G12A,2025-12-06T10:30:00,10:30:00,H,2,0,W,Field 19 (11 v 11),https://public.totalglobalsports.com/public/event/4067,2025-12-11T03:46:43.837100+00:00
2025-12-11T03:46:43.837100+00:00_880f96,4067,35485,2012,G,tgs:94ef45addea9,tgs:94ef45addea9,Sound FC - Sound FC G12A,tgs:5a2b22dbf75f,tgs:5a2b22dbf75f,IR Academy - 12G NPL,2025-12-06T10:30:00,10:30:00,A,0,2,L,Field 19 (11 v 11),https://public.totalglobalsports.com/public/event/4067,2025-12-11T03:46:43.837100+00:00
2025-12-11T03:46:43.837100+00:00_880f96,4067,35485,2012,G,tgs:f4bac23c09d6,tgs:f4bac23c09d6,No Club Selection - NW Elite 2012 Girls ,tgs:856a802de97a,tgs:856a802de97a,San Diego Surf ECNL RL SoCal G12,2025-12-06T10:30:00,10:30:00,H,8,0,W,Field 18 (11 v 11),https://public.totalglobalsports.com/public/event/4067,2025-12-11T03:46:43.837100+00:00
2025-12-11T03:46:43.837100+00:00_880f96,4067,35485,2012,G,tgs:856a802de97a,tgs:856a802de97a,San Diego Surf ECNL RL SoCal G12,tgs:f4bac23c09d6,tgs:f4bac23c09d6,No Club Selection - NW Elite 2012 Girls ,2025-12-06T10:30:00,10:30:00,A,0,8,L,Field 18 (11 v 11),https://public.totalglobalsports.com/public/event/4067,2025-12-11T03:46:43.837100+00:00
2025-12-11T03:46:43.837100+00:00_880f96,4067,35485,2012,G,tgs:856a802de97a,tgs:856a802de97a,San Diego Surf ECNL RL SoCal G12,tgs:5a2b22dbf75f,tgs:5a2b22dbf75f,IR Academy - 12G NPL,2025-12-06T14:15:00,14:15:00,H,0,0,D,Field 18 (11 v 11),https://public.totalglobalsports.com/public/event/4067,2025-12-11T03:46:43.837100+00:00
2025-12-11T03:46:43.837100+00:00_880f96,4067,35485,2012,G,tgs:5a2b22dbf75f,tgs:5a2b22dbf75f,IR Academy - 12G NPL,tgs:856a802de97a,tgs:856a802de97a,San Diego Surf ECNL RL SoCal G12,2025-12-06T14:15:00,14:15:00,A,0,0,D,Field 18 (11 v 11),https://public.totalglobalsports.com/public/event/4067,2025-12-11T03:46:43.837100+00:00
2025-12-11T03:46:43.837100+00:00_880f96,4067,35485,2012,G,tgs:f4bac23c09d6,tgs:f4bac23c09d6,No Club Selection - NW Elite 2012 Girls ,tgs:94ef45addea9,tgs:94ef45addea9,Sound FC - Sound FC G12A,2025-12-06T15:15:00,15:15:00,H,4,2,W,Field 1 (11 v 11),https://public.totalglobalsports.com/public/event/4067,2025-12-11T03:46:43.837100+00:00
