Provider Team ID,Master Team ID,Team Name,Club Name,Age Group,Gender,State Code,Match Method,Confidence,Division
278,6a50ebd9-100d-4b14-8955-aa612329050f,South Florida Football Academy U13 MLS NEXT HD,South Florida Football Academy,u13,Male,FL,manual,100.0%,N/A
1263,b712aadb-9faa-48ef-a860-d720afb89cfe,IFA 2013 PRIMERO II,Impact Football Academy,u13,Male,NE,manual,100.0%,N/A
1328,766bcb7c-549d-4bf6-8089-c7bdcafab3d1,2013B Blue - East,Sporting City Soccer Club,u13,Male,MO,manual,100.0%,N/A
1301,107246f9-4114-40b2-af58-845e05fa7819,KH Elite Cincinnati B13-R,Kings Hammer Soccer Club,u13,Male,OH,manual,100.0%,N/A
472,e10d6a9e-3d23-493c-ac1a-833a050bfbb0,QCM 2013 MLS Next HD,Queen City Mutiny,u13,Male,NC,manual,100.0%,N/A
565,5e1e8bac-eab3-4bd5-8faf-f4ec84478c16,San Francisco Seals U13 MLS NEXT HD,San Francisco Seals,u13,Male,CA,manual,100.0%,N/A
37,c13b2d6a-c2b8-4580-9a59-311b7b357054,IMG Academy U12 Elite Boys,IMG Academy,u12,Male,FL,manual,100.0%,N/A
1329,1557fb02-2b9e-40b5-9cfb-6601dc22e6b0,Sporting Springfield 13 Celtic,Sporting Springfield,u13,Male,MO,manual,100.0%,N/A
1274,8167f6c2-4513-43b6-9cb1-f49ff047b8ac,956 United U13 MLS NEXT AD,956 United,u13,Male,TX,manual,100.0%,N/A
1306,a6854c4c-40c1-4e5a-b977-9712574095cb,CFYSC 2013B MLS Next AD,Chicago Fire Youth SC (CFYSC),u13,Male,IL,manual,100.0%,N/A
1310,78e454c1-9080-4945-8895-2a7144ec9b38,MI Power 13B Gold,Michigan Power Futbol Academy,u13,Male,MI,manual,100.0%,N/A
1312,baf3cd82-6159-4686-aad0-c227c7c646be,MI Stars 13 MLS Next AD,Michigan Stars Elite SC,u13,Male,MI,manual,100.0%,N/A
941,de373fa6-97bd-4cf5-9c60-e2789c51cd7f,GFI Academy North U13 MLS NEXT AD,GFI Academy North,u13,Male,TX,manual,100.0%,N/A
942,f57b4e6d-0fd5-4a99-a4a8-bad4d25f3fc6,GFI Academy South U13 MLS NEXT AD,GFI Academy South,u13,Male,TX,manual,100.0%,N/A
