modular11_club,modular11_club_normalized,modular11_team_id,modular11_ages,modular11_divisions,modular11_games,match_1_db_team_id,match_1_db_team_name,match_1_db_club,match_1_db_age,match_1_score,match_2_db_team_id,match_2_db_team_name,match_2_db_club,match_2_db_age,match_2_score,match_3_db_team_id,match_3_db_team_name,match_3_db_club,match_3_db_age,match_3_score,selected_db_team_id
Lamorinda Soccer Club,lamorinda,411,"U13, U14, U15, U16, U17","AD, HD",176,0ca740db-faf9-4daf-981c-4377f265e14e,Lamorinda 2014B Pre-MLS,Lamorinda SC,u12,100,946edf30-c473-4b24-a612-d58d192150b7,Lamorinda 2010B MLS Next,Lamorinda SC,u16,100,02c583db-89f6-4141-89a8-03902a97797d,Lamorinda United 2014/2015B Navy,Lamorinda SC,u12,100,
Ballistic United,ballistic united,105,"U13, U14, U15, U16, U17","AD, HD",176,defd8041-aa6d-4a79-bf9e-844123cb094b,BUSC 2009 Elite 1,Ballistic United,u17,100,9d280902-16de-49de-a768-851c51110fa7,BUSC 2009B MLS,Ballistic United,u17,100,2b2f7ced-6d01-4861-9d40-4136b54b5cf2,BUSC 2008 Elite 2,Ballistic United,u18,100,
Houston Rangers,houston rangers,868,"U13, U14, U15, U16, U17","AD, HD",173,446ae546-60fe-44f6-8bbf-22b3cd38b834,Houston Rangers U16B TAL,Houston Rangers,u16,100,53e438cb-718d-4b3d-9071-67f1af39f108,Houston Rangers U14B TAL,Houston Rangers,u14,100,084e7f1c-3203-4ad4-8b37-4f96c65b546e,Houston Rangers U15B TAL,Houston Rangers,u15,100,
FC Bay Area Surf,bay area surf,406,"U13, U14, U15, U16, U17","AD, HD",172,75d8e2eb-64af-4284-8d9b-cac6ff00c2f8,08B NPL,Bay Area Surf,u18,100,02700068-b568-4837-b9ca-ab877391d7ea,09 MLS,Bay Area Surf,u17,100,a961513e-8a30-45cc-94b1-f099cd5c794a,11B Academy 1,Bay Area Surf,u15,100,
Wake FC,wake,477,"U13, U14, U15, U16, U17","AD, HD",169,ac6f2fb8-f78d-4bca-9b83-1706ba056c08,09 WFC Blue,Wake FC,u17,100,5253535f-400d-4231-b62a-361c6fb63b43,08 (17U) WFC Gold North (NC) (NLPC),Wake FC,u18,100,14dede8c-95a5-4013-a1bc-fce6e537c81a,08 WFC Blue,Wake FC,u18,100,
De Anza Force,de anza force,77,"U13, U14, U15, U16, U17","AD, HD",169,c8fe2cd5-815b-43a5-a6f4-a1712113c77e,DeAnza Force Academy 08B,De Anza Force,u18,100,8d26ed98-2578-455e-b808-f97693d6caef,De Anza Force RL B08,De Anza Force,u18,100,49208bce-d303-4fdf-a985-e63f3f6cdd7a,De Anza Force RL B08,De Anza Force,u16,100,
IdeaSport SA,ideasport,463,"U13, U14, U15, U16, U17","AD, HD",168,1a08f087-4e70-4110-8aed-191d576cf47a,IdeaSport SA 2012 MLS NEXT I,IdeaSport Soccer Academy,u14,100,861c5acb-c231-40ea-a99d-34b8e173fb18,IdeaSport 2012 NAL,IdeaSport Soccer Academy,u14,100,cf2e0d27-8a73-42f7-bb00-9d9e10f15344,IdeaSport 2011 Pro,IdeaSport Soccer Academy,u15,100,
Inter Atlanta FC,inter atlanta,383,"U13, U14, U15, U16, U17","AD, HD",167,910c7bd8-e93b-46e4-b9ec-02ddf7dbffc5,Inter Atlanta FC 09B NAL,Inter Atlanta FC,u17,100,aca15286-7b50-40ca-a507-039578fad640,Inter Atlanta FC 12B SCCL Black,Inter Atlanta FC,u14,100,bf88bfb5-0104-4345-80aa-f199981ee4bf,Inter Atlanta FC 11B NAL,Inter Atlanta FC,u15,100,
Sacramento Republic FC,sacramento republic,45,"U13, U14, U15, U16, U17",HD,166,dbbc9472-2454-424d-93cc-487890d5aea4,Sacramento Republic FC 2010B MLS,Sacramento Republic,u16,100,ef1d7e01-d0c6-40ba-8ced-d185ad50d3b5,Sacramento Republic FC U17,Sacramento Republic,u18,100,056f2f97-b0dc-4afa-bba2-16bb816cfa1c,Sacramento Republic FC U16,Sacramento Republic,u17,100,
Triangle United Soccer Association,triangle united soccer association,567,"U13, U14, U15, U16, U17","AD, HD",166,3302d4d9-69e3-4979-9f8a-2fcc34315fb1,Carolina United Soccer Association,,u10,85.29411764705883,4d9b1c80-0e12-4985-9ace-c7f43cb35263,McCall U13B Travel Team A,McCall United Soccer Association,u13,84.84848484848484,51119366-08b1-4d2c-b1b5-d12f661afc8a,McCall U14B Travel Team,McCall United Soccer Association,u15,84.84848484848484,
Baltimore Armour,baltimore armour,54,"U13, U14, U15, U16, U17","AD, HD",166,57fb7e56-7ab5-4a65-9d97-7a7883438f1a,Baltimore Armour 2014,Baltimore Armour,u12,100,7678665e-cb7e-485a-81a4-493f118631bc,BA Boys 2013/2014 - Pre-MLSNext 2,Baltimore Armour,u13,100,40b6a2bf-8c59-4926-a051-50e11235a272,Baltimore Armour 2009,Baltimore Armour,u17,100,
FC DELCO,delco,62,"U13, U14, U15, U16, U17","AD, HD",165,574f779c-7748-4653-888a-2e46af33a357,MLS NEXT '10,FC DELCO,u16,100,ba56cfbf-76eb-4db0-89a2-31482715fd20,MLS NEXT '12,FC DELCO,u14,100,32f9ba97-fd19-4f65-8ea3-c9d4a0d6ef3d,MLS NEXT '11,FC DELCO,u15,100,
TSF Academy,tsf,365,"U13, U14, U15, U16, U17","AD, HD",159,,,,,,,,,,,,,,,,
AFC Lightning,lightning,455,"U13, U14, U15, U16, U17","AD, HD",158,f279daf0-5924-4c01-83c0-4cd1594ef329,AFC 09 SCCL Boys,AFC Lightning,u17,100,59910304-2f79-46c7-b88d-c833b45504a5,AFC Lightning 11B MNAD,AFC Lightning,u15,100,c7522753-e366-41b8-a6fe-c8c087a94bee,AFC Lightning 10B NAL,AFC Lightning,u16,100,
Tormenta FC Academy,tormenta fc,476,"U13, U14, U15, U16, U17","AD, HD",157,2c0f33e2-bfec-4ef9-9438-b9f7c4e9ebe6,TFC 14B Statesboro,Tormenta FC Academy,u12,100,0048c3d9-910d-4901-abf9-7b56a006f953,TFC 14 Boys Ibis II GA,Tormenta FC Academy,u12,100,,,,,,
FC Golden State,golden state,19,"U13, U14, U15, U16, U17",HD,154,11171e7c-702c-4261-b99a-28224a6a71a2,B2009 FORCE MLS,FC Golden State,u17,100,c68b9564-f5b0-4250-92f8-e1244a4f885f,B2008 BG,FC Golden State,u18,100,16e86a1b-c96a-4bcb-84ee-5728290d3319,B2009 MLS2,FC Golden State,u17,100,
Cedar Stars Academy Monmouth,cedar stars academy monmouth,138,"U13, U14, U15, U16, U17","AD, HD",154,64eb25f7-e8b9-4c4e-8c73-db169a6f4f1a,2014B Pre-Academy/NEAL White,Cedar Stars Academy - Monmouth,u12,96.55172413793103,c34e779b-e92c-4629-90c2-18d389663e12,2015B Pre-Academy/NEAL Blue,Cedar Stars Academy - Monmouth,u11,96.55172413793103,e401af24-8bbe-488a-9af5-927fb22093f1,2008/07B USYS,Cedar Stars Academy - Monmouth,u18,96.55172413793103,
