modular11_id,modular11_club,modular11_team_names,modular11_games,confidence,db_team_id,db_team_name,db_age_group,approve
1306,Chicago Fire Youth SC,Chicago Fire Youth SC U13 AD | Chicago Fire Youth SC U14 AD | Chicago Fire Youth SC U15 AD | Chicago Fire Youth SC U16 AD,24,84.2,17dc7629-8e1b-4e9a-a3f4-98d6d60ac9ce,Chicago Empire South 2010 Gold Boys,u16,
867,Global Football Innovation Academy,Global Football Innovation Academy U13 HD | Global Football Innovation Academy U14 HD | Global Football Innovation Academy U15 HD | Global Football Innovation Academy U16 HD | Global Football Innovation Academy U17 HD,112,83.9,80b2462d-5a92-415a-9ee2-9980bfb3b9ba,Global Football Innovation 2010B MLS,u15,
867,Global Football Innovation Academy,Global Football Innovation Academy U13 HD | Global Football Innovation Academy U14 HD | Global Football Innovation Academy U15 HD | Global Football Innovation Academy U16 HD | Global Football Innovation Academy U17 HD,112,83.9,6c84ec2e-d628-4667-b5d2-d4f7f37c295a,Global Football Innovation 2009B MLS,u16,
867,Global Football Innovation Academy,Global Football Innovation Academy U13 HD | Global Football Innovation Academy U14 HD | Global Football Innovation Academy U15 HD | Global Football Innovation Academy U16 HD | Global Football Innovation Academy U17 HD,112,83.9,bf4359c4-d98c-4e0c-b485-213e1db3fa10,Global Football Innovation 2008B MLS,u17,
1286,Atlantic United,Atlantic United U13 AD | Atlantic United U14 AD,24,83.9,4d4fd1a4-b51f-4d6d-b45e-ca6f62da08e9,United Athletics,u15,
869,Nashville United Soccer Academy,Nashville United Soccer Academy U13 HD | Nashville United Soccer Academy U14 HD | Nashville United Soccer Academy U15 HD | Nashville United Soccer Academy U16 HD | Nashville United Soccer Academy U17 HD,108,83.7,da7e5726-c87e-40dc-814c-fb47dfe1d7cc,United Philly Soccer 2012 G Premier,u14,
869,Nashville United Soccer Academy,Nashville United Soccer Academy U13 HD | Nashville United Soccer Academy U14 HD | Nashville United Soccer Academy U15 HD | Nashville United Soccer Academy U16 HD | Nashville United Soccer Academy U17 HD,108,83.7,3df9aa54-918c-48f3-9a69-7726f9f8a28a,United Philly Soccer 2011 Boys Elite,u15,
869,Nashville United Soccer Academy,Nashville United Soccer Academy U13 HD | Nashville United Soccer Academy U14 HD | Nashville United Soccer Academy U15 HD | Nashville United Soccer Academy U16 HD | Nashville United Soccer Academy U17 HD,108,83.7,13ea5ed8-c9e4-414a-9d64-1e46c2714bd1,United Philly Soccer 2010 B Elite,u16,
1267,Capital City South,Capital City South U13 AD | Capital City South U14 AD | Capital City South U15 AD | Capital City South U16 AD | Capital City South U17 AD,69,83.7,49a9de0a-0c77-42bf-acb4-ae3c58c0a3d3,Capital City SC 09B South,u17,
1266,Capital City North,Capital City North U13 AD | Capital City North U14 AD | Capital City North U15 AD | Capital City North U16 AD | Capital City North U17 AD,68,83.7,b7335e19-fde0-4725-be39-f0bb34f42288,Capital City SC 10B North,u16,
184,Los Angeles Football Club,Los Angeles Football Club U13 HD | Los Angeles Football Club U14 HD | Los Angeles Football Club U15 HD | Los Angeles Football Club U16 HD | Los Angeles Football Club U17 HD,137,83.3,408cca07-2509-407c-a340-b8a128c91f51,Los Angeles Football Club 2009B MLS,u17,
