team_id_master,team_name,club_name,alias,division,age_group,gender,state_code,state,birth_year,is_deprecated,provider_id,modular11_alias
c4e2d1bd-4fa7-493e-a160-b5a9a75acadb,B2011 Rafael,Antelope Valley Futbol Club,485543,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
70b30698-9b4a-442d-af93-6711b8e9294c,AVSC Storm Black B2011,Apple Valley SC,113530,,u15,Male,CA,California,,FALSE,ea79aa6e-679f-4b5b-92b1-e9f502df7582,
77a873d9-30a2-4bed-b55d-3c87e0bf1f0f,BLACK B11,Apple Valley SC Storm,216746,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
07de806b-c935-4db0-acbe-e2228304118d,AFA B2011 Black,Arete Futbol,479730,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
5f6c65f3-5d40-4ed8-8cf5-4699962ccc5c,Arete Futbol Academy White,Arete Futbol,488273,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
8a366562-ac1c-43b6-b82b-0da923c3364d,Arete Futbol Academy Black,Arete Futbol,314716,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
77562d32-da9e-4ab0-86d2-f5553478c989,11B ECNL,Association Football Club,363222,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
e182e2b0-d7e8-479e-aee0-93ffd028f473,2011 Boys ECNL-RL,Association Football Club,363225,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
9edff285-e536-493c-a64e-25b04d531223,2011 Boys White,Association Football Club,365736,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
e4f060bf-0557-40d5-97a4-2dc921284090,2011 Boys Black,Association Football Club,363227,,u15,Male,CA,California,,FALSE,e6102baf-6095-4fc8-805a-ed0d71cbee1e,
